eta	eta_source	score	randomization	d1	d2	j2	copied_files	missing_optional_files	dest	folder	prefix
0.05	0.05	0.0	0	5	3	2	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,state_P.npy,state_RS.npy		/home1/liaopeng/QuantumTransduction/64_v2/Data-download-2/eta=0.05	/home1/liaopeng/QuantumTransduction/64_v2/Data/eta=0.05_d1=5_d2=3	/home1/liaopeng/QuantumTransduction/64_v2/Data/eta=0.05_d1=5_d2=3/j2=2_randomization=0_
0.10	0.1	0.0	0	2	1	0	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,state_P.npy,state_RS.npy		/home1/liaopeng/QuantumTransduction/64_v2/Data-download-2/eta=0.10	/home1/liaopeng/QuantumTransduction/64_v2/Data/eta=0.1_d1=2_d2=1	/home1/liaopeng/QuantumTransduction/64_v2/Data/eta=0.1_d1=2_d2=1/j2=0_randomization=0_
0.15	0.15	0.08705160730909878	2	2	2	0	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,state_P.npy,state_RS.npy		/home1/liaopeng/QuantumTransduction/64_v2/Data-download-2/eta=0.15	/home1/liaopeng/QuantumTransduction/64_v2/Data/eta=0.15_d1=2_d2=2	/home1/liaopeng/QuantumTransduction/64_v2/Data/eta=0.15_d1=2_d2=2/j2=0_randomization=2_
0.20	0.2	0.304582577753022	5	2	2	1	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,state_P.npy,state_RS.npy		/home1/liaopeng/QuantumTransduction/64_v2/Data-download-2/eta=0.20	/home1/liaopeng/QuantumTransduction/64_v2/Data/eta=0.2_d1=2_d2=2	/home1/liaopeng/QuantumTransduction/64_v2/Data/eta=0.2_d1=2_d2=2/j2=1_randomization=5_
0.25	0.25	0.48968395290413014	0	3	4	2	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,state_P.npy,state_RS.npy		/home1/liaopeng/QuantumTransduction/64_v2/Data-download-2/eta=0.25	/home1/liaopeng/QuantumTransduction/64_v2/Data/eta=0.25_d1=3_d2=4	/home1/liaopeng/QuantumTransduction/64_v2/Data/eta=0.25_d1=3_d2=4/j2=2_randomization=0_
0.30	0.3	0.6572127490510775	3	2	1	0	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,state_P.npy,state_RS.npy		/home1/liaopeng/QuantumTransduction/64_v2/Data-download-2/eta=0.30	/home1/liaopeng/QuantumTransduction/64_v2/Data/eta=0.3_d1=2_d2=1	/home1/liaopeng/QuantumTransduction/64_v2/Data/eta=0.3_d1=2_d2=1/j2=0_randomization=3_
0.35	0.35	0.6902539744641643	6	2	1	0	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,state_P.npy,state_RS.npy		/home1/liaopeng/QuantumTransduction/64_v2/Data-download-2/eta=0.35	/home1/liaopeng/QuantumTransduction/64_v2/Data/eta=0.35_d1=2_d2=1	/home1/liaopeng/QuantumTransduction/64_v2/Data/eta=0.35_d1=2_d2=1/j2=0_randomization=6_
0.40	0.4	0.5333927213282927	5	2	2	1	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,state_P.npy,state_RS.npy		/home1/liaopeng/QuantumTransduction/64_v2/Data-download-2/eta=0.40	/home1/liaopeng/QuantumTransduction/64_v2/Data/eta=0.4_d1=2_d2=2	/home1/liaopeng/QuantumTransduction/64_v2/Data/eta=0.4_d1=2_d2=2/j2=1_randomization=5_
0.45	0.45	0.2549690099563158	8	3	4	2	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,state_P.npy,state_RS.npy		/home1/liaopeng/QuantumTransduction/64_v2/Data-download-2/eta=0.45	/home1/liaopeng/QuantumTransduction/64_v2/Data/eta=0.45_d1=3_d2=4	/home1/liaopeng/QuantumTransduction/64_v2/Data/eta=0.45_d1=3_d2=4/j2=2_randomization=8_
0.50	0.5	0.0024954654797171294	2	2	3	1	ci_list.npy,ns_list.npy,np_list.npy,parameters.npy,state_P.npy,state_RS.npy		/home1/liaopeng/QuantumTransduction/64_v2/Data-download-2/eta=0.50	/home1/liaopeng/QuantumTransduction/64_v2/Data/eta=0.5_d1=2_d2=3	/home1/liaopeng/QuantumTransduction/64_v2/Data/eta=0.5_d1=2_d2=3/j2=1_randomization=2_
