scheme,eta0,delta,eta_minus,eta_plus,ci_minus,ci_plus,ci_avg,ci_nominal,ci_loss_avg,ci_worst,source,status,notes
VQT,0.90,0.01,0.89,0.91,2.4121273341001754,2.4669083750903775,2.4395178545952767,2.4483641684790927,0.0088463138838159594,2.4121273341001754,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.90; energy_check ns=2.0219037 np=1.989921; nominal_recompute_warning stored=2.44332077 recomputed=2.448364168
VQT,0.95,0.01,0.94,0.96,2.5152361630860094,2.5820615393057289,2.5486488511958694,2.5732172251358971,0.024568373940027755,2.5152361630860094,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.95; energy_check ns=2.0294448 np=2.0079411; nominal_recompute_warning stored=2.56354569 recomputed=2.573217225
VQT,0.05,0.03,0.02,0.08,-3.7036659605860223e-07,-3.5260571795703299e-07,-3.6148615700781761e-07,-3.590391051133679e-07,2.4470518944497144e-09,-3.7036659605860223e-07,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.05
VQT,0.10,0.03,0.07,0.13,-0.017647458499645996,0.026007943744671635,0.0041802426225128198,0.010370932514926379,0.0061906898924135589,-0.017647458499645996,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.10; energy_check ns=2.0123111 np=1.989301; nominal_recompute_warning stored=0.01059955044 recomputed=0.01037093251
VQT,0.15,0.03,0.12,0.18,0.040821932990709131,0.27396609595961663,0.15739401447516288,0.23455657148806197,0.077162557012899091,0.040821932990709131,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.15; energy_check ns=1.999601 np=2.0119703; nominal_recompute_warning stored=0.2342050965 recomputed=0.2345565715
VQT,0.20,0.03,0.17,0.23,0.33192264514299952,0.67685001959493585,0.50438633236896768,0.52913119810986897,0.02474486574090129,0.33192264514299952,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.20; energy_check ns=2.0053667 np=2.0122351; nominal_recompute_warning stored=0.5275252705 recomputed=0.5291311981
VQT,0.25,0.03,0.22,0.28,0.63171290874111952,0.88483075739114758,0.75827183306613355,0.79109248912031394,0.032820656054180386,0.63171290874111952,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.25; energy_check ns=1.9946664 np=2.0208063; nominal_recompute_warning stored=0.7874775439 recomputed=0.7910924891
VQT,0.30,0.03,0.27,0.33,0.85314207050170454,1.09390255916977,0.97352231483573726,1.0052264533140103,0.031704138478273025,0.85314207050170454,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.30; energy_check ns=2.0042145 np=2.0111344; nominal_recompute_warning stored=1.004579413 recomputed=1.005226453
VQT,0.35,0.03,0.32,0.38,1.0731556094224386,1.0545860043410684,1.0638708068817535,1.1082558151893713,0.044385008307617824,1.0545860043410684,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.35; energy_check ns=2.0072651 np=2.014901; nominal_recompute_warning stored=1.106684476 recomputed=1.108255815
VQT,0.40,0.03,0.37,0.43,1.1588483316229423,1.1773499354500472,1.1680991335364947,1.2220757391831287,0.053976605646633979,1.1588483316229423,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.40; energy_check ns=2.0055831 np=2.0088263
VQT,0.45,0.03,0.42,0.48,1.1757247846560221,1.2411384132421919,1.208431598949107,1.2288415184142534,0.020409919465146364,1.1757247846560221,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.45; energy_check ns=2.0043892 np=2.0003488; nominal_recompute_warning stored=1.228837335 recomputed=1.228841518
VQT,0.50,0.03,0.47,0.53,1.1902580932589926,1.3203523890039008,1.2553052411314467,1.267322362085276,0.012017120953829341,1.1902580932589926,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.50; energy_check ns=2.0030989 np=2.0012287; nominal_recompute_warning stored=1.267316257 recomputed=1.267322362
VQT,0.55,0.03,0.52,0.58,1.3552140148803957,1.5027746952090562,1.4289943550447259,1.4380641024477585,0.0090697474030325687,1.3552140148803957,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.55; energy_check ns=2.0049708 np=2.0020479
VQT,0.60,0.03,0.57,0.63,1.5139594493947328,1.6581507467309482,1.5860550980628405,1.5981179237193626,0.012062825656522058,1.5139594493947328,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.60; energy_check ns=2.0051048 np=2.004447; nominal_recompute_warning stored=1.598115385 recomputed=1.598117924
VQT,0.65,0.03,0.62,0.68,1.6547299742496739,1.7992438674648028,1.7269869208572384,1.7396171776889187,0.012630256831680287,1.6547299742496739,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.65; energy_check ns=2.0073967 np=2.0027669
VQT,0.70,0.03,0.67,0.73,1.7668079163844905,1.9410041414477921,1.8539060289161413,1.8708008163025234,0.01689478738638206,1.7668079163844905,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.70; energy_check ns=2.009493 np=2.0038046; nominal_recompute_warning stored=1.87096378 recomputed=1.870800816
VQT,0.75,0.03,0.72,0.78,1.9317008002765246,2.0977076920532349,2.0147042461648796,2.0378954270222178,0.023191180857338178,1.9317008002765246,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.75; energy_check ns=2.0092702 np=2.0136825; nominal_recompute_warning stored=2.03741336 recomputed=2.037895427
VQT,0.80,0.03,0.77,0.83,2.0695509817708011,2.2347417664004823,2.1521463740856417,2.1840089136859935,0.031862539600351791,2.0695509817708011,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.80; energy_check ns=2.0151939 np=2.0109118; nominal_recompute_warning stored=2.18153276 recomputed=2.184008914
VQT,0.85,0.03,0.82,0.88,2.1677946580332144,2.3377580185783167,2.2527763383057655,2.2996067534529754,0.04683041514720987,2.1677946580332144,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.85; energy_check ns=2.0138794 np=1.9916098; nominal_recompute_warning stored=2.298094867 recomputed=2.299606753
VQT,0.90,0.03,0.87,0.93,2.2845385827194939,2.4487345349235587,2.3666365588215266,2.4483641684790927,0.081727609657566092,2.2845385827194939,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.90; energy_check ns=2.0219037 np=1.989921; nominal_recompute_warning stored=2.44332077 recomputed=2.448364168
VQT,0.95,0.03,0.92,0.98,2.2910349523746221,2.4130100421472052,2.3520224972609136,2.5732172251358971,0.22119472787498351,2.2910349523746221,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.95; energy_check ns=2.0294448 np=2.0079411; nominal_recompute_warning stored=2.56354569 recomputed=2.573217225
VQT,0.05,0.05,0.00,0.10,-3.9810234309101133e-07,-3.4925628966675504e-07,-3.7367931637888319e-07,-3.590391051133679e-07,1.4640211265515291e-08,-3.9810234309101133e-07,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.05
VQT,0.10,0.05,0.05,0.15,-0.044308408241912844,0.031766151522922614,-0.006271128359495115,0.010370932514926379,0.016642060874421494,-0.044308408241912844,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.10; energy_check ns=2.0123111 np=1.989301; nominal_recompute_warning stored=0.01059955044 recomputed=0.01037093251
VQT,0.15,0.05,0.10,0.20,-0.13262608202112758,0.23320213939250833,0.050288028685690378,0.23455657148806197,0.18426854280237159,-0.13262608202112758,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.15; energy_check ns=1.999601 np=2.0119703; nominal_recompute_warning stored=0.2342050965 recomputed=0.2345565715
VQT,0.20,0.05,0.15,0.25,0.18203349471939578,0.73561524105314069,0.45882436788626824,0.52913119810986897,0.070306830223600736,0.18203349471939578,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.20; energy_check ns=2.0053667 np=2.0122351; nominal_recompute_warning stored=0.5275252705 recomputed=0.5291311981
VQT,0.25,0.05,0.20,0.30,0.50635513220600759,0.90177386250497049,0.70406449735548904,0.79109248912031394,0.087027991764824897,0.50635513220600759,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.25; energy_check ns=1.9946664 np=2.0208063; nominal_recompute_warning stored=0.7874775439 recomputed=0.7910924891
VQT,0.30,0.05,0.25,0.35,0.73688370820493532,1.0956606638697894,0.91627218603736238,1.0052264533140103,0.088954267276647903,0.73688370820493532,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.30; energy_check ns=2.0042145 np=2.0111344; nominal_recompute_warning stored=1.004579413 recomputed=1.005226453
VQT,0.35,0.05,0.30,0.40,0.99519673868536351,0.99815320110234396,0.99667496989385373,1.1082558151893713,0.11158084529551759,0.99519673868536351,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.35; energy_check ns=2.0072651 np=2.014901; nominal_recompute_warning stored=1.106684476 recomputed=1.108255815
VQT,0.40,0.05,0.35,0.45,1.0781415589222578,1.1072042057898828,1.0926728823560703,1.2220757391831287,0.12940285682705843,1.0781415589222578,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.40; energy_check ns=2.0055831 np=2.0088263
VQT,0.45,0.05,0.40,0.50,1.1198683165654648,1.2347573578272559,1.1773128371963604,1.2288415184142534,0.051528681217893002,1.1198683165654648,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.45; energy_check ns=2.0043892 np=2.0003488; nominal_recompute_warning stored=1.228837335 recomputed=1.228841518
VQT,0.50,0.05,0.45,0.55,1.1266919168667671,1.3443494488519856,1.2355206828593763,1.267322362085276,0.031801679225899715,1.1266919168667671,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.50; energy_check ns=2.0030989 np=2.0012287; nominal_recompute_warning stored=1.267316257 recomputed=1.267322362
VQT,0.55,0.05,0.50,0.60,1.2904566450894412,1.5355379637214472,1.4129973044054442,1.4380641024477585,0.025066798042314264,1.2904566450894412,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.55; energy_check ns=2.0049708 np=2.0020479
VQT,0.60,0.05,0.55,0.65,1.4439776263857018,1.6854457169305048,1.5647116716581033,1.5981179237193626,0.033406252061259245,1.4439776263857018,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.60; energy_check ns=2.0051048 np=2.004447; nominal_recompute_warning stored=1.598115385 recomputed=1.598117924
VQT,0.65,0.05,0.60,0.70,1.5833880711033976,1.8255190880317298,1.7044535795675637,1.7396171776889187,0.035163598121354944,1.5833880711033976,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.65; energy_check ns=2.0073967 np=2.0027669
VQT,0.70,0.05,0.65,0.75,1.6774366957348503,1.969650089047736,1.8235433923912931,1.8708008163025234,0.047257423911230223,1.6774366957348503,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.70; energy_check ns=2.009493 np=2.0038046; nominal_recompute_warning stored=1.87096378 recomputed=1.870800816
VQT,0.75,0.05,0.70,0.80,1.8325283468942448,2.1121874228510844,1.9723578848726646,2.0378954270222178,0.065537542149553207,1.8325283468942448,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.75; energy_check ns=2.0092702 np=2.0136825; nominal_recompute_warning stored=2.03741336 recomputed=2.037895427
VQT,0.80,0.05,0.75,0.85,1.9550610515376832,2.2329020634187664,2.0939815574782248,2.1840089136859935,0.090027356207768694,1.9550610515376832,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.80; energy_check ns=2.0151939 np=2.0109118; nominal_recompute_warning stored=2.18153276 recomputed=2.184008914
VQT,0.85,0.05,0.80,0.90,2.027804561847983,2.3082048209263721,2.1680046913871776,2.2996067534529754,0.13160206206579783,2.027804561847983,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.85; energy_check ns=2.0138794 np=1.9916098; nominal_recompute_warning stored=2.298094867 recomputed=2.299606753
VQT,0.90,0.05,0.85,0.95,2.1099872374204707,2.3396335141232552,2.2248103757718631,2.4483641684790927,0.22355379270722953,2.1099872374204707,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.90; energy_check ns=2.0219037 np=1.989921; nominal_recompute_warning stored=2.44332077 recomputed=2.448364168
VQT,0.95,0.05,0.90,1.00,2.0260815764354287,1.4502171125678127,1.7381493445016207,2.5732172251358971,0.83506788063427639,1.4502171125678127,Data_HPC/84,ok,frozen VQT parameters from run 84 eta0=0.95; energy_check ns=2.0294448 np=2.0079411; nominal_recompute_warning stored=2.56354569 recomputed=2.573217225
GKP,0.05,0.01,0.04,0.06,-0.00040594490708079078,-0.0002969990870971273,-0.00035147199708895904,-0.00034088880717297876,1.0583189915980284e-05,-0.00040594490708079078,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.05; d1=5 d2=4 j2=0
GKP,0.10,0.01,0.09,0.11,-0.00014077822369995552,-0.00010189139881600084,-0.00012133481125797818,-0.00011944407780695165,1.8907334510265272e-06,-0.00014077822369995552,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.10; d1=2 d2=4 j2=0
GKP,0.15,0.01,0.14,0.16,0.075401177914129924,0.24365168997071729,0.15952643394242361,0.16262462130801048,0.0030981873655868686,0.075401177914129924,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.15; d1=4 d2=1 j2=0; energy_check ns=1.9975491 np=2.0166587; nominal_recompute_warning stored=0.1630069328 recomputed=0.1626246213
GKP,0.20,0.01,0.19,0.21,0.4010702234923742,0.55010474450253666,0.47558748399745543,0.4787964529603701,0.0032089689629146712,0.4010702234923742,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.20; d1=3 d2=1 j2=0; energy_check ns=1.9974621 np=2.0142901; nominal_recompute_warning stored=0.4784036033 recomputed=0.478796453
GKP,0.25,0.01,0.24,0.26,0.70376750884065498,0.71159576801594748,0.70768163842830123,0.72114638199237335,0.013464743564072124,0.70376750884065498,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.25; d1=3 d2=1 j2=0; energy_check ns=2.0041376 np=2.0138683; nominal_recompute_warning stored=0.7204936998 recomputed=0.721146382
GKP,0.30,0.01,0.29,0.31,0.6552598443604305,0.71053616007312392,0.68289800221677721,0.68609662852096687,0.0031986263041896557,0.6552598443604305,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.30; d1=2 d2=1 j2=0; energy_check ns=1.9995693 np=2.008438; nominal_recompute_warning stored=0.6858549799 recomputed=0.6860966285
GKP,0.35,0.01,0.34,0.36,0.74388475749287575,0.71183959710135492,0.72786217729711533,0.73156164217946973,0.0036994648823543974,0.71183959710135492,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.35; d1=2 d2=1 j2=0; energy_check ns=2.0019604 np=2.0067273; nominal_recompute_warning stored=0.7312607368 recomputed=0.7315616422
GKP,0.40,0.01,0.39,0.41,0.63722080416474669,0.54688817006244683,0.59205448711359676,0.59433988942390803,0.0022854023103112686,0.54688817006244683,Data_HPC/94/Data-Download,ok,frozen GKP parameters from Data_HPC/94/Data-Download eta0=0.40; d1=2 d2=1 j2=0; energy_check ns=1.9991787 np=2.0037481; nominal_recompute_warning stored=0.5939052966 recomputed=0.5943398894
